,Sr.No,Received Date (DD MMM YYYY),Article title,Citation Details,Reference ID,DOI,Initial Reviewer Name,Initial Review Date,Abstract/Full Text Article (FTA),Article Classification,Initial Review Comment,Quality Reviewer Name,Quality Review Date,Quality Review Comment,Full Text Request Raised (Order ID),Translation Request Raised (Order ID),Article Priority,Country Of Incidence,Valid Drugs,Invalid Drugs,Suspected Events,No. of cases to be created,Allocation Sent,Case ID,Reference number for Aggregate report as applicable,Reference number for Signal report as applicable,Additional Comments (if any)
1630,,,Ticagrelor as Compared to Clopidogrel Following Percutaneous Coronary Intervention for Acute Coronary Syndrome,Am J Cardiol. 2023 May 15;198:26-32. doi: 10.1016/j.amjcard.2023.03.012. Online ahead of print.,37196530,10.1016/j.amjcard.2023.03.012,,,Abstract,Invalid,No MA in COI_Clopidogrel_Risk of major bleeding,,,No Error,,,,Canada,,Clopidogrel,Risk of major bleeding,,,,,,
1631,,,"Streptomyces telluris sp. nov., a promising terrestrial actinobacterium with antioxidative potentials",Arch Microbiol. 2023 May 22;205(6):247. doi: 10.1007/s00203-023-03585-x.,37212915,10.1007/s00203-023-03585-x,,,Abstract,Rejected,No safety information,,,No error ,,,,Thailand,,,,,,,,,
1632,,,The differences in drug resistance between drug-resistant tuberculosis patients with and without diabetes mellitus in northeast China: a retrospective study,BMC Infect Dis. 2023 Mar 15;23(1):162. doi: 10.1186/s12879-023-08130-1.,36922787,10.1186/s12879-023-08130-1,,,Full Text,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
1633,,,A comparison of five DNA extraction methods from degraded human skeletal remains,Forensic Sci Int. 2023 May 15;348:111730. doi: 10.1016/j.forsciint.2023.111730. Online ahead of print.,37224759,10.1016/j.forsciint.2023.111730,,,Full text,Rejected,No safety information,,,No error,,,,Spain,,,,,,,,,
1634,,,"Dynamic Incidence of Typhoid Fever over a 10-Year Period (2010-2019) in Kibera, an Urban Informal Settlement in Nairobi, Kenya",Am J Trop Med Hyg. 2023 May 30:tpmd220736. doi: 10.4269/ajtmh.22-0736. Online ahead of print.,37253442,10.4269/ajtmh.22-0736,,,Full Text,Invalid,No MA in COI_Ciprofloxacin_Antibiotic resistance,,,No error,,,,Kenya,,Ciprofloxacin,Antibiotic resistance,,,,,,
1635,,,In Vitro and In Vivo Metabolic Activation of Tolterodine Mediated by CYP3A,Chem Res Toxicol. 2023 Mar 20;36(3):479-491. doi: 10.1021/acs.chemrestox.2c00389. Epub 2023 Feb 16.,36795936,10.1021/acs.chemrestox.2c00389,,,Abstract,Invalid,In Vitro and In Vivo study_hepatotoxicity and cytotoxicity_Tolterodine,,,No error,,,,China,,Tolterodine,Hepatotoxicity and cytotoxicity,,,,,,
1636,,,Retrospective analysis of risk factors for levofloxacin-induced liver injury,J Chemother. 2023 May 7:1-5. doi: 10.1080/1120009X.2023.2203607. Online ahead of print.,37151111,10.1080/1120009X.2023.2203607,,,Abstract,Invalid,No MA in COI_levofloxacin_Liver injury,,,No error,,,,Japan,,levofloxacin,Liver injury,,,,,,
1637,,,The Activities of Antimicrobials Against Stenotrophomonas maltophilia Isolates and Evaluation of Clinical Outcomes Among Treatment Regimens in Patients with Stenotrophomonas maltophilia Infections: A Retrospective Multicenter Cohort Study,Infect Drug Resist. 2023 Aug 9;16:5173-5184. doi: 10.2147/IDR.S416678. eCollection 2023.,37581163,10.2147/IDR.S416678,,,Full text,Invalid,"No MA in COI_Trimethoprim-sulfamethoxazole,levofloxacin,minocycline_Treatment failure",,,No error,,,,Thailand,,"Trimethoprim-sulfamethoxazole,levofloxacin,minocycline",Treatment failure,,,,,,
1638,,,Safety Profile and Effectiveness of Rivaroxaban for Patients With Venous Thromboembolism in Japan?- Results From Post-Marketing Surveillance (XASSENT),Circ J. 2023 May 27. doi: 10.1253/circj.CJ-23-0104. Online ahead of print.,37245989,10.1253/circj.CJ-23-0104,,,Full text,Invalid,"No MA in COI_Rivaroxaban_Major bleeding,symptomatic  recurrence of pulmonary embolism/Deep vein thrombosis,Death",,,No error ,,,,Japan,,Rivaroxaban,"Major bleeding,symptomatic recurrence of pulmonary embolism/Deep vein thrombosis,Death",,,,,,
1639,,,Chorioamnionitis and early pregnancy loss caused by ampicillin-resistant non-typeable Haemophilus influenzae,IDCases. 2023 Mar 29;32:e01751. doi: 10.1016/j.idcr.2023.e01751. eCollection 2023.,37077421,10.1016/j.idcr.2023.e01751,,,Full Text,Invalid,"No MA in COI_Ampicillin_DEDP, still birth,fetal loss,(LOE)",,,No error ,,,,Japan,,Ampicillin,"DEDP, still birth,fetal loss,(LOE)",,,,,,
1640,,,Retracted: Caffeine Treatment Promotes Differentiation and Maturation of Hypoxic Oligodendrocytes via Counterbalancing Adenosine 1 Adenosine Receptor-Induced Calcium Overload,Med Sci Monit. 2023 May 16;29:e941120. doi: 10.12659/MSM.941120.,37190968,10.12659/MSM.941120,,,Abstract,Rejected,No safety information,,,No Error,,,,China,,,,,,,,,
1641,,,The Effect of CT-Guided Pulsed Radiofrequency Combined with Ozone Injection on Zoster-Associated Pain: A Retrospective Study,J Pain Res. 2023 Apr 20;16:1321-1332. doi: 10.2147/JPR.S398578. eCollection 2023.,37101519,10.2147/JPR.S398578,,,Full Text,Invalid,"No MA in COI_Pregabalin_Treatment inefficiency,leakage of cerebrospinal fluid, numbness, haemorrhage, infection, pneumothorax, and spinal injury",,,No error ,,,,China,,Pregabalin,"Treatment inefficiency,leakage of cerebrospinal fluid, numbness, haemorrhage, infection, pneumothorax, and spinal injury",,,,,,
1642,,,Mapping the signaling network of BIN2 kinase using TurboID-mediated biotin labeling and phosphoproteomics,Plant Cell. 2023 Mar 15;35(3):975-993. doi: 10.1093/plcell/koad013.,36660928,10.1093/plcell/koad013,,,Abstract,Rejected,In-vitro/In-vivo_No safety information,,,No error,,,,United states,,,,,,,,,
1643,,,"Corrigendum to ""Genetic polymorphisms of cytochrome P450 2D6 (CYP2D6) are associated with long term tramadol treatment-induced oxidative damage and hepatotoxicity"" [Toxicology and Applied Pharmacology 346 (2018) 37-44]",Toxicol Appl Pharmacol. 2023 May 15;467:116499. doi: 10.1016/j.taap.2023.116499. Epub 2023 Mar 31.,37003364,10.1016/j.taap.2023.116499,,,Full Text,Invalid,No MA in COI_Tramadol_Hepatotoxicity,,,No Error,,,,Egypt,,Tramadol,Hepatotoxicity,,,,,,
1644,,,"Position statement from the Indian Society of Gastroenterology, Cardiological Society of India, Indian Academy of Neurology and Vascular Society of India on gastrointestinal bleeding and endoscopic procedures in patients on antiplatelet and/or anticoagulant therapy",Indian J Gastroenterol. 2023 Jun 5:1-15. doi: 10.1007/s12664-022-01324-6. Online ahead of print.,37273146,10.1007/s12664-022-01324-6,,,Full text,Invalid,No MA in COI_Aspirin_Bleeding,,,Article classification changed from rejected to invalid. Comment changed from No safety information to No MA in COI_Aspirin_Bleeding. Invalid drugs updated from NA to aspirin. Suspected events updated from NA to bleeding.,,,,India,,Aspirin ,Bleeding,,,,,,
1645,,,Population pharmacokinetics of topiramate in Chinese children with epilepsy,Eur J Clin Pharmacol. 2023 Aug 19. doi: 10.1007/s00228-023-03549-6. Online ahead of print.,37597080,10.1007/s00228-023-03549-6,,,Abstract,Invalid,Invitro study_Topiramate_Drug interactions,,,No error,,,,China,,Topiramate,Drug interactions,,,,,,
1646,,,Construction of Co(3)O(4) anchored on Bi(2)MoO(6) microspheres for highly efficient photocatalytic peroxymonosulfate activation towards degradation of norfloxacin,Environ Sci Pollut Res Int. 2023 May 22. doi: 10.1007/s11356-023-27674-y. Online ahead of print.,37213017,10.1007/s11356-023-27674-y,,,Abstract,Rejected,No safety information_Invitro study,,,No error ,,,,China,,,,,,,,,
1647,,,Treatment of Seizure Clusters in Epilepsy: A Narrative Review on Rescue Therapies,Neurol Ther. 2023 Jun 21. doi: 10.1007/s40120-023-00515-3. Online ahead of print.,37341903,10.1007/s40120-023-00515-3,,,Full Text,Invalid,"No patient identifiers_ Diazepam_Nasal discomfort, headache, dysgeusia, epistaxis, somnolence, serious adverse effects etc.,",,,No Error,,,,United States,,Diazepam,"Nasal discomfort, headache, dysgeusia, epistaxis, somnolence, other serious adverse effects etc.,",,,,,,
1648,,,Housekeeping gene stability in Pesudomonas aeruginosa PAO1 under the pressure of commonly used antibiotics in molecular microbiology assays,Front Microbiol. 2023 Mar 13;14:1140515. doi: 10.3389/fmicb.2023.1140515. eCollection 2023.,36992935,10.3389/fmicb.2023.1140515,,,Abstract,Rejected,No safety information_In vitro study,,,No Error,,,,China,,,,,,,,,
1649,,,Associations between exposure to a mixture of phenols and sex steroid hormones among pre- and postmenopausal women: evidence from NHANES 2015-2016,Environ Sci Pollut Res Int. 2023 Apr;30(19):57103-57113. doi: 10.1007/s11356-023-26421-7. Epub 2023 Mar 17.,36930311,10.1007/s11356-023-26421-7,,,Abstract,Rejected,No safety information_Invitro study,,,No error,,,,China,,,,,,,,,
1650,,,"Shaping the Physicochemical, Functional, Microbiological and Sensory Properties of Yoghurts Using Plant Additives",Foods. 2023 Mar 17;12(6):1275. doi: 10.3390/foods12061275.,36981201,10.3390/foods12061275,,,Abstract ,Rejected,No safety information,,,No Error,,,,Poland,,,,,,,,,
1651,,,Chemoprevention of colorectal cancer in general population and high-risk population: a systematic review and network meta-analysis,Chin Med J (Engl). 2023 Apr 5;136(7):788-798. doi: 10.1097/CM9.0000000000002514.,37027286,10.1097/CM9.0000000000002514,,,Full Text,Invalid,"No patient-product-event correlation_Aspirin_Cardiovascular events, stroke, gastrointestinal bleeding",,,No Error,,,,China,,Aspirin,"Cardiovascular events, stroke, gastrointestinal bleeding",,,,,,
1652,,,Antimicrobial and controlled release properties of nanocomposite film containing thymol and carvacrol loaded UiO-66-NH(2) for active food packaging,Food Chem. 2023 Mar 15;404(Pt A):134427. doi: 10.1016/j.foodchem.2022.134427. Epub 2022 Sep 27.,36240565,10.1016/j.foodchem.2022.134427,,,Abstract,Rejected,No safety information_In Vitro study,,,No error,,,,China,,,,,,,,,
1653,,,Evidence-based antenatal interventions to reduce the incidence of small vulnerable newborns and their associated poor outcomes,Lancet. 2023 May 20;401(10389):1733-1744. doi: 10.1016/S0140-6736(23)00355-0. Epub 2023 May 8.,37167988,10.1016/S0140-6736(23)00355-0,,,Abstract,Rejected,No safety information,,,No Error,,,,South Africa,,,,,,,,,
1654,,,Outcomes after extended azithromycin administration in preterm premature rupture of membranes,AJOG Glob Rep. 2023 Apr 5;3(2):100206. doi: 10.1016/j.xagr.2023.100206. eCollection 2023 May.,37213792,10.1016/j.xagr.2023.100206,,,Full Text ,Invalid,"No MA in COI_Azithromycin,ampicillin,amoxicillin_DEDP",,,No error,,,,United states,,"Azithromycin,ampicillin,amoxicillin",DEDP,,,,,,
1655,,,Rivaroxaban in Valvular Atrial Fibrillation - a Critical Appraisal of the INVICTUS Trial,Cardiovasc Drugs Ther. 2023 May 25. doi: 10.1007/s10557-023-07470-z. Online ahead of print.,37227566,10.1007/s10557-023-07470-z,,,Full text,Invalid,No patient-product-event correlation_Rivaroxaban_Treatment non compliance,,,No error,,,,Austria,,Rivaroxaban,Treatment non compliance,,,,,,
1656,,,Neurofilament Light Chain: A Translational Safety Biomarker for Drug-Induced Peripheral Neurotoxicity,Toxicol Pathol. 2023 Jul 12:1926233231180179. doi: 10.1177/01926233231180179. Online ahead of print.,37439009,10.1177/01926233231180179,,,Abstract,Invalid,Animal study_pyridoxine_ pyridoxine-induced peripheral axonal degeneration,,,No error,,,,Switzerland,,pyridoxine,pyridoxine-induced peripheral axonal degeneration,,,,,,
1657,,,Short-term changes in ultrasound tomography measures of breast density and treatment-associated endocrine symptoms after tamoxifen therapy,NPJ Breast Cancer. 2023 Mar 15;9(1):12. doi: 10.1038/s41523-023-00511-8.,36922547,10.1038/s41523-023-00511-8,,,full text,Invalid,No MA in COI_Tamoxifen_worsening endocrine symptoms and early declines in breast density,,,No Error,,,,United States,,Tamoxifen,Worsening vasomotor symptoms and joint pain and early decline in breast density,,,,,,
1658,,,Mid-term outcomes of patients with subclinical hypothyroidism after coronary bypass surgery,Interdiscip Cardiovasc Thorac Surg. 2023 Aug 3;37(2):ivad120. doi: 10.1093/icvts/ivad120.,37522881,10.1093/icvts/ivad120,,,Full text,Invalid,"No MA in COI_Aspirin,Clopidogrel_Euthyroidism,subclinical hypothyroidism",,,No error,,,,China,,"Aspirin,Clopidogrel","Euthyroidism,subclinical hypothyroidism",,,,,,
1659,,,Resilience of barley (Hordeum vulgare) plants upon exposure to tramadol: Implication for the root-associated bacterial community and the antioxidative plant defence system,Sci Total Environ. 2023 May 18:164260. doi: 10.1016/j.scitotenv.2023.164260. Online ahead of print.,37209727,10.1016/j.scitotenv.2023.164260,,,Abstract,Rejected,No safety information,,,No error,,,,Germany,,,,,,,,,
1660,,,Sensitive electrochemical assay of acetaminophen based on 3D-hierarchical mesoporous carbon nanosheets,J Colloid Interface Sci. 2023 Mar 15;634:509-520. doi: 10.1016/j.jcis.2022.12.022. Epub 2022 Dec 9.,36542979,10.1016/j.jcis.2022.12.022,,,Abstract,Rejected,In-vitro/Animal study_No saftey information,,,No error ,,,,China,,,,,,,,,
1661,,,Joint effect of maternal pre-pregnancy body mass index and folic acid supplements on gestational diabetes mellitus risk: a prospective cohort study,BMC Pregnancy Childbirth. 2023 Mar 23;23(1):202. doi: 10.1186/s12884-023-05510-y.,36959594,10.1186/s12884-023-05510-y,,,Full Text,Invalid,No MA in COI_Folic acid_DEDP,,,No error,,,,China,,folic acid,DEDP,,,,,,
1662,,,HCN-Channel-Dependent Hyperexcitability of the Layer V Pyramidal Neurons in IL-mPFC Contributes to Fentanyl-Induced Hyperalgesia in Male Rats,Mol Neurobiol. 2023 May;60(5):2553-2571. doi: 10.1007/s12035-023-03218-w. Epub 2023 Jan 23.,36689134,10.1007/s12035-023-03218-w,,,Abstract,Invalid,Animal study_Fentanyl_Hyperalgesia,,,No error,,,,China,,Fentanyl,Hyperalgesia,,,,,,
1663,,,Interventions for patent ductus arteriosus (PDA) in preterm infants: an overview of Cochrane Systematic Reviews,Cochrane Database Syst Rev. 2023 Apr 11;4(4):CD013588. doi: 10.1002/14651858.CD013588.pub2.,37039501,10.1002/14651858.CD013588.pub2,,,Full Text,Invalid,Safety from secondary source_Ibuprofen_gastrointestinal bleeding,,,Suspected events updated from FEDP to gastrointestinal bleeding; Comment updated from No MA in COI_Ibuprofen_FEDP to Safety from secondary source_Ibuprofen_gastrointestinal bleeding,,,,Canada,,Ibuprofen ,gastrointestinal bleeding,,,,,,
1664,,,General Metadynamics Protocol To Simulate Activation/Deactivation of Class A GPCRs: Proof of Principle for the Serotonin Receptor,J Chem Inf Model. 2023 May 22;63(10):3105-3117. doi: 10.1021/acs.jcim.3c00208. Epub 2023 May 9.,37161278,10.1021/acs.jcim.3c00208,,,Abstract,Rejected,No safety information,,,No error ,,,,Germany,,,,,,,,,
1665,,,Updated Renal Dosage Recommendations for Rivaroxaban in Patients Experiencing or at Risk of Thromboembolic Disease,Am J Cardiovasc Drugs. 2023 May;23(3):247-255. doi: 10.1007/s40256-023-00579-4. Epub 2023 Apr 28.,37115488,10.1007/s40256-023-00579-4,,,Full Text,Invalid,"No MA in COI_Rivaroxaban_Major bleeding,Venous Thrombo embolism",,,No error,,,,United States,,Rivaroxaban,"Major bleeding,Venous Thrombo embolism",,,,,,
1666,,,Indole Alkaloids of Rauvolfia ligustrina and Their Anxiolytic Effects in Adult Zebrafish,Planta Med. 2023 May 15. doi: 10.1055/a-2058-3710. Online ahead of print.,36940928,10.1055/a-2058-3710,,,Abstract,Rejected,No safety information_Animal study,,,No error ,,,,Brazil,,,,,,,,,
1667,,,Comparative renal risk of long-term use of beta-lactams in combination with vancomycin across the continuum of care,Ther Adv Infect Dis. 2023 Aug 11;10:20499361231189589. doi: 10.1177/20499361231189589. eCollection 2023 Jan-Dec.,37576023,10.1177/20499361231189589,,,Full Text,Invalid,No MA in COI_Aciclovir_Acute kidney injury,,,No error,,,,United states,,Aciclovir,Acute kidney injury,,,,,,
1668,,,"A CYP3A4 Drug-Drug Interaction Between Nirmatrelvir/Ritonavir and Nifedipine Leading to Edema, Oliguria, and Acute Kidney Injury: A Case Report",Ann Pharmacother. 2023 Aug;57(8):991-992. doi: 10.1177/10600280221143131. Epub 2022 Dec 22.,36560849,10.1177/10600280221143131,,,Abstract,Invalid,No MA in COI_Nifedipine_Drug-Drug interaction,,,No Error,,,,United states,,Nifedipine,Drug-Drug interaction,,,,,,
1669,,,A RANDOMISED CONTROLLED TRIAL TO INVESTIGATE THE USE OF ACUTE CORONARY SYNDROME THERAPY IN PATIENTS HOSPITALISED WITH COVID-19: THE C19-ACS TRIAL,J Thromb Haemost. 2023 May 23:S1538-7836(23)00428-2. doi: 10.1016/j.jtha.2023.04.045. Online ahead of print.,37230416,10.1016/j.jtha.2023.04.045,,,Full text,Valid,"Valid case_1 Cluster case_ Fatal bleeding, thrombosis,_Aspirin, Rivaroxaban(intervention group)",,,No error,,,Serious,United Kingdom,"Aspirin, Rivaroxaban",,"bleeding, thrombosis",1 Cluster case,,,,,
1670,,,Portable dual-mode biosensor based on smartphone and glucometer for on-site sensitive detection of Listeria monocytogenes,Sci Total Environ. 2023 May 20;874:162450. doi: 10.1016/j.scitotenv.2023.162450. Epub 2023 Feb 28.,36863591,10.1016/j.scitotenv.2023.162450,,,Abstract,Rejected,Environmental study_No safety information,,,No Error,,,,China,,,Na,,,,,,
1671,,,Neuroleptic malignant syndrome induced by aripiprazole depot,Neurologia (Engl Ed). 2023 Jun;38(5):374-375. doi: 10.1016/j.nrleng.2022.05.004. Epub 2023 Apr 7.,37031797,10.1016/j.nrleng.2022.05.004,,,Abstract,Invalid,No MA in COI_Aripiprazole_Neuroleptic malignant syndrome,,,No Error,,,,Spain,,Aripiprazole,Neuroleptic malignant syndrome,,,,,,
1672,,,"Randomised, placebo-controlled trial and meta-analysis show benefit of ondansetron for irritable bowel syndrome with diarrhoea: The TRITON trial",Aliment Pharmacol Ther. 2023 Jun;57(11):1258-1271. doi: 10.1111/apt.17426. Epub 2023 Mar 3.,36866724,10.1111/apt.17426,,,Full text,Invalid,"Ruled out based on Non-company formulation(In article it is mentioned as capsules whereas our company formulation is oral solution)_Ondansetron_Constipation,Rectal bleeding(refer section 3.6 for safety)",,,No error,,,,United Kingdom,,ondansetron,"Constipation,Rectal bleeding",,,,,,
1673,,,"Weight changes following treatment with aripiprazole, risperidone and olanzapine: A 12-month study of first-episode schizophrenia patients in China",Asian J Psychiatr. 2023 Jun;84:103594. doi: 10.1016/j.ajp.2023.103594. Epub 2023 Apr 19.,37094459,10.1016/j.ajp.2023.103594,,,Abstract,Invalid,No MA in COI_Olanzapine_weight gain,,,No error,,,,China,,Olanzapine,Weight gain,,,,,,
